Scenario Name,Date,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate (USD/euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, index)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound)
Actual,1990 Q4,2.3,5.7,,,,,-0.3,5.6,135.8,-2.0,7.9,1.929
Actual,1991 Q1,2.8,3.5,,,,,4.4,4.2,140.6,-2.0,4.1,1.749
Actual,1991 Q2,1.2,3.5,,,,,3.5,1.3,137.9,-0.5,13.0,1.618
Actual,1991 Q3,-0.1,5.2,,,,,0.0,1.7,132.9,-0.8,6.2,1.752
Actual,1991 Q4,3.9,4.0,,,,,3.1,4.1,124.9,0.5,5.1,1.866
Actual,1992 Q1,6.2,3.3,,,,,-0.6,0.3,132.9,-0.1,3.7,1.736
Actual,1992 Q2,-3.0,3.7,,,,,1.2,3.2,125.9,-0.6,2.3,1.904
Actual,1992 Q3,-1.1,2.5,,,,,1.5,-0.3,120.0,1.9,1.6,1.779
Actual,1992 Q4,-0.8,3.0,,,,,-2.4,0.9,124.9,3.1,3.1,1.513
Actual,1993 Q1,-2.7,4.0,,,,,2.0,1.4,114.9,2.0,2.1,1.509
Actual,1993 Q2,0.3,3.0,,,,,-3.3,1.4,106.8,1.8,3.2,1.493
Actual,1993 Q3,1.7,3.1,,,,,-1.8,3.3,106.1,3.7,3.1,1.496
Actual,1993 Q4,1.1,2.8,,,,,1.6,-1.8,111.7,2.8,1.4,1.478
Actual,1994 Q1,3.8,2.8,,,,,4.8,2.0,102.4,4.0,1.9,1.488
Actual,1994 Q2,2.5,2.3,,,,,-2.1,-0.3,98.5,3.7,1.9,1.548
Actual,1994 Q3,2.7,2.7,,,,,4.7,0.0,99.1,4.1,1.8,1.577
Actual,1994 Q4,3.2,2.3,,,,,-1.6,1.5,99.6,1.7,1.6,1.567
Actual,1995 Q1,2.2,2.5,,,,,4.4,-0.4,86.9,2.1,4.3,1.619
